survey_date,survey_year,AHP_period,position_side,foreign_group,value_usd_millions,value_usd_billions,share_of_side_total,side_total_usd_millions,side_total_usd_billions,classification,survey_status
2013-12-31,2013,2008Q1-2023Q3,U.S. portfolio equity assets abroad,South Korea,147172.0,147.172,0.022736721244664467,6472877.0,6472.877,Stable panel of separately reported economies,Final historical survey
2013-12-31,2013,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Singapore,62081.0,62.081,0.009590943872407895,6472877.0,6472.877,Stable panel of separately reported economies,Final historical survey
2013-12-31,2013,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Taiwan,97973.0,97.973,0.015135927965261815,6472877.0,6472.877,Stable panel of separately reported economies,Final historical survey
2013-12-31,2013,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Hong Kong,134875.0,134.875,0.02083694777453673,6472877.0,6472.877,Stable panel of separately reported economies,Final historical survey
2013-12-31,2013,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Canada,405165.0,405.165,0.06259426836011252,6472877.0,6472.877,Stable panel of separately reported economies,Final historical survey
2013-12-31,2013,2008Q1-2023Q3,U.S. portfolio equity assets abroad,United Kingdom,978137.0,978.137,0.15111317579493633,6472877.0,6472.877,Stable panel of separately reported economies,Final historical survey
2013-12-31,2013,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Mainland China,100574.0,100.574,0.01553775855774797,6472877.0,6472.877,Stable panel of separately reported economies,Final historical survey
2013-12-31,2013,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Japan,603767.0,603.767,0.09327645187758087,6472877.0,6472.877,Stable panel of separately reported economies,Final historical survey
2014-12-31,2014,2008Q1-2023Q3,U.S. portfolio equity assets abroad,All other foreign,4195921.0,4195.921,0.623792141884759,6726473.0,6726.473,Stable panel of separately reported economies,Final historical survey
2014-12-31,2014,2008Q1-2023Q3,U.S. portfolio equity assets abroad,South Korea,141316.0,141.316,0.021008929939955158,6726473.0,6726.473,Stable panel of separately reported economies,Final historical survey
2014-12-31,2014,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Singapore,73414.0,73.414,0.010914189353023494,6726473.0,6726.473,Stable panel of separately reported economies,Final historical survey
2014-12-31,2014,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Taiwan,114115.0,114.115,0.016965057319043724,6726473.0,6726.473,Stable panel of separately reported economies,Final historical survey
2014-12-31,2014,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Hong Kong,141940.0,141.94,0.021101697724795743,6726473.0,6726.473,Stable panel of separately reported economies,Final historical survey
2014-12-31,2014,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Canada,416961.0,416.961,0.06198805822903028,6726473.0,6726.473,Stable panel of separately reported economies,Final historical survey
2014-12-31,2014,2008Q1-2023Q3,U.S. portfolio equity assets abroad,United Kingdom,922176.0,922.176,0.13709651402748513,6726473.0,6726.473,Stable panel of separately reported economies,Final historical survey
2014-12-31,2014,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Mainland China,129054.0,129.054,0.019185983501308932,6726473.0,6726.473,Stable panel of separately reported economies,Final historical survey
2014-12-31,2014,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Japan,591576.0,591.576,0.08794742802059861,6726473.0,6726.473,Stable panel of separately reported economies,Final historical survey
2015-12-31,2015,2008Q1-2023Q3,U.S. portfolio equity assets abroad,All other foreign,4282619.0,4282.619,0.633981563010909,6755116.0,6755.116,Stable panel of separately reported economies,Final historical survey
2015-12-31,2015,2008Q1-2023Q3,U.S. portfolio equity assets abroad,South Korea,139027.0,139.027,0.020580993723867954,6755116.0,6755.116,Stable panel of separately reported economies,Final historical survey
2015-12-31,2015,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Singapore,81065.0,81.065,0.012000534113699899,6755116.0,6755.116,Stable panel of separately reported economies,Final historical survey
2015-12-31,2015,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Taiwan,107545.0,107.545,0.01592052601317283,6755116.0,6755.116,Stable panel of separately reported economies,Final historical survey
2015-12-31,2015,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Hong Kong,129459.0,129.459,0.01916458577469284,6755116.0,6755.116,Stable panel of separately reported economies,Final historical survey
2015-12-31,2015,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Canada,325395.0,325.395,0.0481701572556267,6755116.0,6755.116,Stable panel of separately reported economies,Final historical survey
2015-12-31,2015,2008Q1-2023Q3,U.S. portfolio equity assets abroad,United Kingdom,896599.0,896.599,0.13272888282007297,6755116.0,6755.116,Stable panel of separately reported economies,Final historical survey
2015-12-31,2015,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Mainland China,102971.0,102.971,0.015243409587636985,6755116.0,6755.116,Stable panel of separately reported economies,Final historical survey
2015-12-31,2015,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Japan,690436.0,690.436,0.10220934770032077,6755116.0,6755.116,Stable panel of separately reported economies,Final historical survey
2016-12-31,2016,2008Q1-2023Q3,U.S. portfolio equity assets abroad,All other foreign,4548858.0,4548.858,0.6365315295144913,7146320.0,7146.32,Stable panel of separately reported economies,Final historical survey
2016-12-31,2016,2008Q1-2023Q3,U.S. portfolio equity assets abroad,South Korea,153931.0,153.931,0.021539897457712502,7146320.0,7146.32,Stable panel of separately reported economies,Final historical survey
