t,N_US,e_US,A,q_US,v,B_per,Q_US,V_agg,B_agg,bubble_share,NFA,NFA_fund,NFA_bubble,NFA_b_cf,dNFA,dA,dV,dB
41,45.41547044193341,4.204701591804085,2.1023507959020424,0.03200808744097749,0.032008087441185176,-2.0768803343784725e-13,1.652510899053979,1.6525108990647015,-1.0722533971829762e-11,-6.488631317329371e-12,0.44983989684806347,0.44983989683734094,1.0722533971829762e-11,-0.10059264011796021,0.5504325369660237,0.952512700200975,-0.40208016324567386,1.0722533971829762e-11
42,51.62791754118981,4.325075419734155,2.1625377098670775,0.028701960965195197,0.02870196096540243,-2.0723353588714133e-13,1.6870362726427701,1.6870362726549508,-1.2180700892372442e-11,-7.220177236196098e-12,0.4755014372243074,0.4755014372121267,1.2180700892372442e-11,-0.101432440898922,0.5769338781232294,1.000487000734935,-0.4235531226238862,1.2180700892372442e-11
43,58.777735594042426,4.44989954893134,2.22494977446567,0.02570757077673221,0.025707570776890086,-1.5787718354864921e-13,1.722825076229545,1.7228250762401254,-1.0580425424677742e-11,-6.141323092320739e-12,0.5021246982361249,0.5021246982255445,1.0580425424677742e-11,-0.10228768953856138,0.6044123877746863,1.050408023968261,-0.44599563620415505,1.0580425424677742e-11
44,67.01625335167277,4.579344040276554,2.289672020138277,0.02299943203448957,0.022999432034530257,-4.0686204405560034e-14,1.759927730917086,1.7599277309201993,-3.113287405653864e-12,-1.7689859367302268e-12,0.5297442892211912,0.5297442892180779,3.113287405653864e-12,-0.10315866339490021,0.6329029526160914,1.102356376205217,-0.46945342359223896,3.113287405653864e-12
45,76.52048660497039,4.713585407693635,2.3567927038468177,0.020553652296365715,0.020553652296197097,1.686185913118976e-13,1.798396655325432,1.7983966553106785,1.475353172963878e-11,8.203713950396014e-12,0.5583960485213857,0.5583960485361392,-1.475353172963878e-11,-0.10404564551670092,0.6624416940380866,1.1564158423135509,-0.49397414826071073,-1.475353172963878e-11
46,87.4976685113732,4.852806852765612,2.426403426382806,0.018347891981335292,0.018347891980833968,5.013246762164414e-13,1.8382863602237645,1.8382863601735364,5.022804394627656e-11,2.7323296866633213e-11,0.5881170661590416,0.5881170662092696,-5.022804394627656e-11,-0.1049489170231519,0.6930659831821935,1.2126736485019478,-0.5196076652695263,-5.022804394627656e-11
47,100.19060293650043,4.997198503860436,2.498599251930218,0.016361317456168478,0.016361317455171026,9.974521208988563e-13,1.8796534920307963,1.8796534919162051,1.1459122539747568e-10,6.096401591214037e-11,0.6189457598994217,0.6189457600140129,-1.1459122539747568e-10,-0.105868768637436,0.7248145285368577,1.271220368254231,-0.546405839602782,-1.1459122539747568e-10
48,114.88399372888746,5.14695766533026,2.57347883266513,0.014574548968038541,0.014574548966330342,1.7081995540291217e-12,1.922556910565854,1.9225569103405222,2.2533175325634147e-10,1.1720420447268894e-10,0.6509219220992759,0.6509219223246077,-2.2533175325634147e-10,-0.10680549332299716,0.7577274154222731,1.332150185357835,-0.5744227697102302,-2.2533175325634147e-10
49,131.91193187397784,5.302289074962216,2.651144537481108,0.012969603903673766,0.012969603900975039,2.6987266588118786e-12,1.9670577627717691,1.967057762362462,4.093070327115811e-10,2.080808405620123e-10,0.6840867747093389,0.6840867751186459,-4.093070327115811e-10,-0.10775938826093001,0.7918461629702689,1.3955609880770923,-0.6037148246975164,-4.093070327115811e-10
50,151.666756932691,5.463405170469475,2.7317025852347374,0.011529836462199006,0.011529836458147053,4.051953217398818e-12,2.013219559695619,2.0132195589881094,7.075096064568243e-10,3.514319156345736e-10,0.7184830255391184,0.718483026246628,-7.075096064568243e-10,-0.10873075498912477,0.8272137805282431,1.461554501644427,-0.6343407204086742,-7.075096064568243e-10
51,174.60955029987056,5.630526365450794,2.815263182725397,0.01023987466553776,0.010239874659664833,5.872927144601192e-12,2.061108256964619,2.061108255782501,1.1821179590754127e-9,5.735351139761627e-10,0.754154925760778,0.754154926942896,-1.1821179590754127e-9,-0.10971989954665795,0.863874825307436,1.5302364253453207,-0.6663615988557667,-1.1821179590754127e-9
52,201.282566856142,5.803881333735945,2.9019406668679726,0.009085555493946218,0.009085555485651728,8.294490094762352e-12,2.1107923223816236,2.110792320454615,1.927008774771366e-9,9.129314875454478e-10,0.791148344486349,0.7911483464133577,-1.927008774771366e-9,-0.11072713470032647,0.9018754791866754,1.6017165252604424,-0.6998410441467582,-1.927008774771366e-9
53,232.32397004102418,5.983707308916121,2.9918536544580605,0.008053859262456041,0.008053859250972044,1.1483997780503685e-11,2.162342862941223,2.1623428598579384,3.0832847386363937e-9,1.4259000232934863e-9,0.8295107915168374,0.8295107946001221,-3.0832847386363937e-9,-0.11175277191194621,0.9412635634287836,1.6761089722506108,-0.7348454057385425,-3.0832847386363937e-9
54,268.4853053021704,6.170250388706336,3.085125194353168,0.007132843320803491,0.0071328433051518255,1.5651665727367536e-11,2.2158336831996444,2.2158336783374195,4.862224844970342e-9,2.194309474504121e-9,0.8692915111535235,0.8692915160157484,-4.862224844970342e-9,-0.11279713359978616,0.9820886447533097,1.753532214782701,-0.7714435651671665,-4.862224844970342e-9
55,310.65222990907336,6.36376585399945,3.181882926999725,0.006311576306903397,0.006311576285842805,2.1060591638699666e-11,2.2713413906745332,2.2713413830954767,7.579056493511871e-9,3.3368196100459716e-9,0.9105415363251916,0.9105415439042481,-7.579056493511871e-9,-0.11386054534068135,1.024402081665873,1.8341093185509103,-0.8097072293059808,-7.579056493511871e-9
56,359.86911671973513,6.564518499013572,3.282259249506786,0.005580073220964491,0.005580073192925635,2.8038855959255926e-11,2.328945495916531,2.3289454842140023,1.1702528723844807e-8,5.02481863331001e-9,0.9533137535902552,0.9533137652927839,-1.1702528723844807e-8,-0.1149433379954341,1.0682570915856893,1.9179680855384853,-0.8497109822502673,-1.1702528723844807e-8
