nu_b,t,bubble_share_upper,log10_bubble_share_upper,a_t,dividend_leakage,switch_leakage,state_price_SDF_factor,physical_payoff_crash_factor
0.5,26,7.616268104685664e-6,-5.118257776501712,0.23306006402743204,0.030433509557432098,0.20262655446999994,0.4017876647729793,0.5043125318057968
0.5,27,9.37900891615273e-6,-5.027843051278357,0.23144416494248704,0.03048119236948649,0.20096297257300055,0.4027679682817603,0.4989547044426703
0.5,28,1.1550538101274833e-5,-4.937397782960516,0.23153077308437575,0.030638695934131325,0.20089207715024443,0.402858250622681,0.4986669053934828
0.5,29,1.4262525672479958e-5,-4.845803560844975,0.234793179973651,0.030990350137096504,0.2038028298365545,0.4013568472383846,0.5077846092295679
0.5,30,1.7751066440533576e-5,-4.750775550477828,0.24459488089019651,0.031690317514416005,0.2129045633757805,0.39659595420719485,0.5368298922801218
0.5,31,2.2607866527084637e-5,-4.6457404194871,0.2736061015162905,0.03294189963512283,0.2406642018811677,0.37941014056206274,0.6343114644343582
0.5,32,3.2921063018025686e-5,-4.48252614990542,0.4561773433413381,0.03339500193412503,0.42278234140721305,0.2859377198671499,1.4785819149835944
0.5,33,5.175892533814179e-5,-4.286014749429002,0.5722130634056853,0.03367316385132299,0.5385398995543623,0.2600183657379028,2.0711610044392317
0.5,34,8.748424743442906e-5,-4.058070139757003,0.690225344960184,0.033841816659177265,0.6563835283010067,0.24173416157603506,2.715311414909588
0.5,35,0.00015892830897055234,-3.7987987375650127,0.8166505814623571,0.033928642693283016,0.7827219387690741,0.22705469160152858,3.4472837061773567
0.5,36,0.0003105497799850681,-3.5078687741025543,0.954024314463761,0.03395064765514339,0.9200736668086176,0.21461594386474303,4.287070430277415
0.5,37,0.0006533595113882959,-3.184847782204429,1.1038801296839122,0.03392037300848483,1.0699597566754275,0.20375623454599773,5.251175548367749
0.5,38,0.001481411879779841,-2.829324176963927,1.2673763126705728,0.03384796813438026,1.2335283445361926,0.19409214246940457,6.355374972125099
0.5,39,0.003622814858616975,-2.4409538597097433,1.445514922666462,0.03374199659127187,1.4117729260751901,0.1853757560803695,7.61573657702638
0.5,40,0.009561460250993236,-2.0194757760796147,1.6392351318343001,0.03360979898116458,1.6056253328531356,0.17743475125947897,9.049102960135942
0.5,41,0.02724507980820847,-1.5647119155919962,1.8494685009413998,0.033457672167169814,1.81601082877423,0.17014276696687228,10.673453013302746
0.5,42,0.0838377784263892,-1.0765602383510842,2.0771713284220343,0.0332909841867794,2.043880344235255,0.16340350308857135,12.508179479649154
0.5,43,0.27862223754717036,-0.5549842243850762,2.3233494824985708,0.03311427713926888,2.290235205359302,0.15714135568960538,14.574363287810154
0.5,44,1.0,0.0,2.5890889715172194,0.03293143218796312,2.556157539329256,0.15129554949469176,16.895127106292968
1.0,1,0.030827140748737682,-1.511066754697137,0.0,0.0,0.0,NaN,NaN
