t,state,n,n_next,phi,G,e,D_agg,d_per,PD,Q_actual,V_rational,B_rational,bubble_share,Q_b_branch,crash_gap_Q,market_actual,V_agg,B_agg,crash_gap_market
71,b,313.1293785888747,332.336519403465,0.6933034373659253,1.061339312526815,938.148906292427,61.28312160086787,0.1957118232630926,7.211849430599321,1.41144420116149,1.41144420116149,0,0,1.41144420116149,0,469.0744531462136,469.0744531462136,0,0
72,b,332.336519403465,352.721813031228,0.6933034373659253,1.061339312526815,1001.639522944361,65.43054761682032,0.1968804022328523,7.211849430599321,1.419871816739161,1.419871816739161,0,0,1.419871816739161,0,500.8197614721805,500.8197614721805,0,0
73,b,352.721813031228,374.3575265557753,0.6933034373659253,1.061339312526815,1069.426961109176,69.85865683082901,0.1980559586901537,7.211849430599321,1.428349752906388,1.428349752906388,0,0,1.428349752906388,0,534.713480554588,534.713480554588,0,0
74,b,374.3575265557753,397.3203598739454,0.6933034373659253,1.061339312526815,1141.80201454644,74.58644489402015,0.1992385342969926,7.211849430599321,1.436878310123209,1.436878310123209,0,0,1.436878310123209,0,570.90100727322,570.90100727322,0,0
75,b,397.3203598739454,421.6917176015199,0.6933034373659253,1.061339312526815,1219.075156914074,79.63419301634306,0.2004281709641257,7.211849430599321,1.445457790643693,1.445457790643693,0,0,1.445457790643693,0,609.5375784570371,609.5375784570371,0,0
76,b,421.6917176015199,447.5579976574489,0.6933034373659253,1.061339312526815,1301.577873634613,85.02355496866701,0.2016249108525545,7.211849430599321,1.454088498526634,1.454088498526634,0,0,1.454088498526634,0,650.7889368173064,650.7889368173064,0,0
77,b,447.5579976574489,475.0108975496346,0.6933034373659253,1.061339312526815,1389.664083897503,90.77764997287487,0.2028287963750211,7.211849430599321,1.462770739646341,1.462770739646341,0,0,1.462770739646341,0,694.8320419487516,694.8320419487516,0,0
78,b,475.0108975496346,504.1477394480746,0.6933034373659253,1.061339312526815,1483.711658897495,96.92116187843021,0.2040398701975101,7.211849430599321,1.471504821703472,1.471504821703472,0,0,1.471504821703472,0,741.8558294487476,741.8558294487476,0,0
79,b,504.1477394480746,535.0718151977673,0.6933034373659253,1.061339312526815,1584.124042822082,103.4804450508665,0.2052581752407613,7.211849430599321,1.48029105423594,1.48029105423594,0,0,1.48029105423594,0,792.0620214110409,792.0620214110409,0,0
80,b,535.0718151977673,567.8927524944733,0.6933034373659253,1.061339312526815,1691.331983541652,110.4836374264361,0.2064837546817905,7.211849430599321,1.48912974862988,1.48912974862988,0,0,1.48912974862988,0,845.6659917708258,845.6659917708258,0,0
81,b,567.8927524944733,602.7269035214449,0.6933034373659253,1.061339312526815,1805.795380426673,117.9607812179001,0.2077166519554202,7.211849430599321,1.498021218130695,1.498021218130695,0,0,1.498021218130695,0,902.8976902133365,902.8976902133365,0,0
82,b,602.7269035214449,639.6977574248663,0.6933034373659253,1.061339312526815,1928.005257218627,125.9439517892613,0.2089569107558183,7.211849430599321,1.506965777854142,1.506965777854142,0,0,1.506965777854142,0,964.0026286093137,964.0026286093137,0,0
83,b,639.6977574248663,678.9363780902528,0.6933034373659253,1.061339312526815,2058.485868417918,134.4673952522857,0.210204575038047,7.211849430599321,1.515963744797511,1.515963744797511,0,0,1.515963744797511,0,1029.242934208959,1029.242934208959,0,0
84,b,678.9363780902528,720.5818687717546,0.6933034373659253,1.061339312526815,2197.796948224694,143.5676753750722,0.2114596890196203,7.211849430599321,1.525015437850858,1.525015437850858,0,0,1.525015437850858,0,1098.898474112347,1098.898474112347,0,0
85,b,720.5818687717546,764.7818652215016,0.6933034373659253,1.061339312526815,2346.536111680085,153.283830432878,0.212722297182072,7.211849430599321,1.534121177808305,1.534121177808305,0,0,1.534121177808305,0,1173.268055840043,1173.268055840043,0,0
86,b,764.7818652215016,811.6930590671636,0.6933034373659253,1.061339312526815,2505.341418308201,163.6575406740541,0.2139924442725305,7.211849430599321,1.543281287379406,1.543281287379406,0,0,1.543281287379406,0,1252.6707091541,1252.6707091541,0,0
87,b,811.6930590671636,861.4817532931309,0.6933034373659253,1.061339312526815,2674.89410925643,174.7333071194886,0.2152701753053062,7.211849430599321,1.552496091200588,1.552496091200588,0,0,1.552496091200588,0,1337.447054628215,1337.447054628215,0,0
88,b,861.4817532931309,914.3244517945267,0.6933034373659253,1.061339312526815,2855.921529675741,186.5586424625647,0.2165555355634858,7.211849430599321,1.561765915846656,1.561765915846656,0,0,1.561765915846656,0,1427.960764837871,1427.960764837871,0,0
89,b,914.3244517945267,970.4084850940599,0.6933034373659253,1.061339312526815,3049.200248877412,199.1842748885581,0.217848570600538,7.211849430599321,1.571091089842366,1.571091089842366,0,0,1.571091089842366,0,1524.600124438706,1524.600124438706,0,0
