T_report,t,s,payoff_t,all_u_probability,all_u_discount_factor,dividend_US,pv_contribution,expected_all_u_contribution,log10_pv_contribution
105,37,40,77,0.00013292279957849188,60.8346656989211,1.2648413145319972,76.94619853173798,0.010227904125761054,1.8861871687097875
105,37,41,78,0.00010633823966279351,68.78074526986262,1.320955295507326,90.8562896931655,0.009661497908264028,1.958354997516185
105,37,42,79,8.507059173023481e-5,77.79671016973255,1.3796691638519434,107.33372207030685,0.009130943249129567,2.0307361898893683
105,37,43,80,6.805647338418786e-5,88.02898160547228,1.4411053258702644,126.85903422258161,0.008633578486112903,2.10332140079154
105,37,44,81,5.444517870735029e-5,99.64423518779277,1.5053918389725593,150.0036184523655,0.008166973813388226,2.1761017354219567
105,37,45,82,4.355614296588023e-5,112.83222241905774,1.5726626747035128,177.447024702297,0.007728907976803329,2.2490687218227645
105,37,46,83,3.484491437270419e-5,127.80898700188744,1.6430579947189556,209.99757789038225,0.007317347620065647,2.3222142856153103
105,37,47,84,2.7875931498163353e-5,144.82053137935006,1.7167244401908095,248.6169456603502,0.006930428946510523,2.395530726702927
105,37,48,85,2.2300745198530684e-5,164.14699670901538,1.7938154351580053,294.4494163314622,0.006566441407464018,2.469010697781935
105,37,49,86,1.7840596158824548e-5,186.10742836142364,1.8744915043794437,348.85679336539454,0.006223813167694507,2.5426471845098826
105,37,50,87,1.4272476927059638e-5,211.0652091732418,1.9589206062838995,413.45998751908485,0.005901098132128505,2.6164334871884964
105,37,51,88,1.1417981541647711e-5,239.43425425283436,2.047278481651232,490.18859650203797,0.005596964346786467,2.6903632038278404
105,37,52,89,9.13438523331817e-6,271.68607433239026,2.1397490186992436,581.3400109469816,0.005310183611531132,2.764430214467661
105,37,53,90,7.307508186654536e-6,308.3578297156352,2.2365246352913304,689.6498826439873,0.005039622163346277,2.838628666641386
