switch_index,G_N_US,G_N_W,nu_b_eff,xi_W_seed,xi_W_eff,bgp_converged,bgp_residual_norm,G_b,G_W,level_gap,log_gap
92,1.0151227969244554,1.0407933840532173,0.1,1.0,0.0375396759363791,true,3.8979862987236146e-16,1.0015020857391133,1.0015020868134388,-1.0743255174361366e-9,-1.072714262686722e-9
93,1.014737056761161,1.0409190540348046,0.1,1.0,0.03647895762550866,true,2.2235215865958605e-16,1.0014640227919802,1.0014640238022265,-1.0102463310346366e-9,-1.008769627509551e-9
94,1.0143369130611106,1.0410513835029023,0.1,1.0,0.03538333665943229,true,4.440892098500626e-16,1.0014245248113036,1.001424525934326,-1.1230223417868501e-9,-1.1214249301307738e-9
95,1.0139222367268186,1.0411906898637953,0.1,1.0,0.034253039430452735,true,3.0479807331516843e-16,1.0013835775224076,1.0013835785677365,-1.0453289345235817e-9,-1.043884623056282e-9
96,1.0134929819577019,1.0413372878682927,0.1,1.0,0.03308857385917919,true,3.597469787019049e-16,1.001341174804111,1.0013411757714128,-9.673017942191109e-10,-9.660061674188203e-10
97,1.013049192530782,1.041491487656479,0.1,1.0,0.031890728801123605,true,4.4225985234449795e-16,1.0012973193238308,1.001297320375471,-1.0516401083293658e-9,-1.0502775426701055e-9
98,1.0125910097355761,1.0416535918510528,0.1,1.0,0.030660583983466994,true,4.418267618026152e-16,1.0012520233393898,1.0012520244717653,-1.1323755266801072e-9,-1.1309595022643282e-9
99,1.0121186846179275,1.041823890569885,0.1,1.0,0.029399544985751744,true,3.035083304095438e-16,1.0012053099307887,1.0012053109523176,-1.0215288615000873e-9,-1.0202989180526506e-9
100,1.0116325913244626,1.0420026552118014,0.1,1.0,0.028109385314130216,true,4.4117917361102076e-16,1.0011572143459095,1.0011572154232278,-1.0773182346213162e-9,-1.0760730024053644e-9
101,1.0111332240832245,1.0421901374109899,0.1,1.0,0.026792202864683805,true,4.1340292827722524e-16,1.0011077837316085,1.0011077848544971,-1.1228886709346853e-9,-1.1216461925922516e-9
102,1.0106212072472907,1.0423865624905402,0.1,1.0,0.0254504533722506,true,5.234695042510654e-16,1.0010570781600803,1.0010570793161002,-1.1560199464355492e-9,-1.1547991434629479e-9
103,1.010097294641588,1.0425921259622868,0.1,1.0,0.024086932150361194,true,4.682820418731079e-16,1.0010051705998826,1.0010051717747648,-1.1748821915347207e-9,-1.173702478957095e-9
104,1.0095623669313862,1.042806990012709,0.1,1.0,0.02270475366834296,true,6.059871835609034e-16,1.0009521466924973,1.0009521478706702,-1.1781728925797097e-9,-1.177052342204131e-9
